from-to,score,userA_id,userB_id,has_common_skills,n_common_skills,has_common_schools,n_common_schools,has_common_industry,n_common_industry,has_common_company,n_common_company
6272725-4875996,2.0,6272725,4875996,0,-1,0,-1,0,-1,0,-1
6312961-6308949,0.0,6312961,6308949,0,-1,0,0,1,1,0,0
24676-6269740,2.0,24676,6269740,0,0,0,0,1,1,1,1
6273235-6289667,0.0,6273235,6289667,1,1,0,0,1,1,1,-2
220746-2351901,1.0,220746,2351901,0,-1,1,-2,1,1,0,0
6291334-6269753,3.0,6291334,6269753,1,2,0,-1,1,1,1,-2
6304082-6323175,3.0,6304082,6323175,0,-1,0,-1,0,0,0,0
6296101-1296357,3.0,6296101,1296357,1,1,0,0,1,2,1,-2
36391-2181137,3.0,36391,2181137,0,-1,1,-2,1,1,1,-2
6338931-6339516,3.0,6338931,6339516,0,-1,0,-1,1,1,1,-2
207727-6296155,1.0,207727,6296155,1,1,0,0,0,0,1,-2
16981-1213842,0.0,16981,1213842,0,0,0,0,1,1,1,-2
6315976-6315324,1.0,6315976,6315324,0,-1,0,0,0,0,0,0
6271188-4335901,0.0,6271188,4335901,1,1,0,0,1,1,1,-2
6283282-2143403,1.0,6283282,2143403,0,-1,0,0,1,2,0,0
1317103-160487,1.0,1317103,160487,1,4,1,-2,1,1,1,-2
1912141-29641,1.0,1912141,29641,1,1,0,0,1,1,1,-2
2580805-83972,1.0,2580805,83972,0,-1,0,0,1,1,1,-2
6289913-232891,0.0,6289913,232891,0,-1,0,-1,1,1,1,-2
6287644-6290693,3.0,6287644,6290693,0,-1,0,0,1,1,1,-2
1949523-44384,2.0,1949523,44384,1,2,0,0,1,1,1,-2
1202254-38954,1.0,1202254,38954,0,-1,0,0,0,0,1,-2
24801-1377124,3.0,24801,1377124,0,-1,0,0,1,1,1,-2
36095-2753614,2.0,36095,2753614,0,0,0,0,1,1,0,0
3159074-1608983,1.0,3159074,1608983,1,1,0,0,1,1,1,-2
1952345-6273434,3.0,1952345,6273434,0,0,0,0,1,1,0,0
6272360-6278637,0.0,6272360,6278637,1,1,0,0,1,1,0,0
6313312-6309476,0.0,6313312,6309476,0,-1,0,0,1,1,0,0
133296-155079,3.0,133296,155079,0,-1,0,0,1,1,1,-2
6297957-26462,0.0,6297957,26462,0,-1,0,0,1,1,0,0
10951-1775849,0.0,10951,1775849,0,0,0,-1,1,1,1,-2
226115-1698282,3.0,226115,1698282,0,-1,1,1,0,0,1,-2
36095-1412721,2.0,36095,1412721,1,-2,0,0,0,0,1,-2
6273304-6279076,0.0,6273304,6279076,0,0,0,-1,0,0,0,0
6323387-6328343,3.0,6323387,6328343,0,-1,0,0,1,1,0,0
6271623-4458503,2.0,6271623,4458503,1,1,0,-1,0,0,1,-2
1141662-1948227,1.0,1141662,1948227,1,4,1,-2,1,2,1,-2
2557409-6297736,1.0,2557409,6297736,1,2,0,-1,0,0,0,0
4403816-6316282,1.0,4403816,6316282,0,-1,0,0,1,1,1,-2
6270694-1175319,2.0,6270694,1175319,0,-1,0,-1,1,1,1,-2
6287435-6271132,3.0,6287435,6271132,1,2,0,0,1,1,1,-2
1118128-6270447,1.0,1118128,6270447,0,-1,0,0,1,3,0,0
6270429-1682494,3.0,6270429,1682494,1,2,0,-1,1,1,0,0
6275741-3761,3.0,6275741,3761,0,-1,1,-2,1,1,0,0
6272773-57627,0.0,6272773,57627,0,-1,0,0,1,1,0,0
941112-6290591,1.0,941112,6290591,1,1,0,0,1,1,1,-2
6286956-2653565,1.0,6286956,2653565,1,1,1,-2,1,1,1,-2
4570244-6275622,1.0,4570244,6275622,0,0,0,0,1,1,1,-2
6284244-4463367,1.0,6284244,4463367,1,2,0,-1,0,-1,0,-1
20315-4458503,2.0,20315,4458503,1,6,0,-1,0,0,1,-2
6269224-6269471,1.0,6269224,6269471,1,-2,1,-2,1,1,1,-2
19097-25244,0.0,19097,25244,0,-1,0,0,1,1,0,0
6299635-6328120,2.0,6299635,6328120,0,0,0,0,0,0,0,0
561266-16191,3.0,561266,16191,0,-1,1,-2,1,2,1,-2
20139-1036252,0.0,20139,1036252,1,1,0,0,1,2,1,-2
5329769-25616,1.0,5329769,25616,0,0,0,0,1,1,1,-2
6278775-2830683,2.0,6278775,2830683,0,0,0,0,0,0,1,-2
17168-18321,3.0,17168,18321,1,1,0,0,1,1,1,-2
6294629-6276395,1.0,6294629,6276395,0,-1,0,0,1,1,0,0
153921-202281,2.0,153921,202281,1,3,1,-2,1,1,1,-2
6268622-4518769,3.0,6268622,4518769,0,-1,0,0,1,1,0,0
26768-22730,2.0,26768,22730,0,-1,0,-1,1,1,0,0
6270402-2991984,2.0,6270402,2991984,0,0,1,-2,1,1,1,-2
6335443-6332128,2.0,6335443,6332128,0,0,0,0,1,1,0,0
3411773-1658382,0.0,3411773,1658382,0,-1,0,0,1,1,1,-2
6275087-6328120,2.0,6275087,6328120,0,0,0,0,0,0,0,0
6276650-4619366,3.0,6276650,4619366,0,-1,0,0,1,1,1,-2
1861398-6327453,1.0,1861398,6327453,0,0,0,0,0,0,0,0
17469-1556536,2.0,17469,1556536,0,-1,0,0,1,1,0,0
6328420-6332727,1.0,6328420,6332727,0,-1,0,0,1,1,1,-2
6287679-6292851,0.0,6287679,6292851,0,-1,0,-1,0,0,0,0
6274018-6274513,2.0,6274018,6274513,0,-1,0,0,0,0,0,0
1476163-57627,2.0,1476163,57627,0,-1,0,0,1,1,1,-2
116988-6270059,3.0,116988,6270059,0,-1,0,0,1,1,1,-2
16981-1959585,0.0,16981,1959585,1,1,0,0,0,0,1,-2
3422610-6275974,1.0,3422610,6275974,0,-1,0,0,1,1,1,-2
1335262-6336195,1.0,1335262,6336195,0,-1,0,0,1,1,0,0
6337526-6295708,3.0,6337526,6295708,0,-1,0,0,1,1,0,0
35129-17449,2.0,35129,17449,1,6,0,0,1,1,1,-2
4601233-77745,2.0,4601233,77745,0,-1,1,-2,0,0,0,0
74839-6201023,2.0,74839,6201023,0,0,0,0,1,2,1,-2
6280137-6285934,3.0,6280137,6285934,0,0,0,0,1,1,1,-2
1341573-6270320,2.0,1341573,6270320,0,-1,0,0,1,1,0,0
6289892-6304993,1.0,6289892,6304993,1,1,0,0,0,0,1,-2
950038-99763,1.0,950038,99763,0,-1,0,0,0,0,0,0
159003-27705,2.0,159003,27705,0,-1,0,0,1,1,1,-2
2020751-6270022,2.0,2020751,6270022,0,0,0,0,1,2,1,-2
2236938-4515806,2.0,2236938,4515806,1,1,0,0,1,1,1,-2
245604-89635,3.0,245604,89635,0,-1,0,0,1,1,1,-2
3120064-2372028,2.0,3120064,2372028,0,-1,0,0,1,1,1,-2
70994-259005,0.0,70994,259005,1,-2,0,0,1,1,1,-2
6268989-151,0.0,6268989,151,1,-2,0,0,0,0,0,0
190279-4619366,0.0,190279,4619366,0,-1,0,0,1,1,1,-2
1219828-51078,3.0,1219828,51078,1,1,1,-2,1,1,1,-2
6275502-6278446,3.0,6275502,6278446,0,-1,0,0,0,0,0,0
1210099-6269712,3.0,1210099,6269712,0,-1,0,0,1,1,1,-2
6272952-223390,3.0,6272952,223390,0,-1,0,-1,1,1,1,-2
6286559-6284809,3.0,6286559,6284809,0,-1,1,-2,1,1,1,-2
6314433-6302371,3.0,6314433,6302371,1,2,0,0,0,0,1,-2
29383-6193472,0.0,29383,6193472,0,-1,0,0,1,1,1,-2
2386013-6206458,0.0,2386013,6206458,0,0,1,-2,0,0,1,-2
144466-6290729,2.0,144466,6290729,1,1,0,-1,1,1,0,0
38954-2088746,0.0,38954,2088746,0,-1,0,-1,1,1,1,-2
6290434-853024,0.0,6290434,853024,0,0,1,-2,1,2,1,-2
6283715-6330568,2.0,6283715,6330568,0,0,0,0,1,1,1,-2
1175319-6283303,3.0,1175319,6283303,0,-1,0,0,1,1,0,0
6304768-6334637,1.0,6304768,6334637,0,-1,0,0,0,0,0,0
6274645-23181,2.0,6274645,23181,0,-1,0,-1,1,1,1,-2
1912141-1675216,2.0,1912141,1675216,1,1,0,0,1,1,1,-2
6323176-2499521,0.0,6323176,2499521,0,0,1,-2,1,1,0,0
235195-4749785,3.0,235195,4749785,0,-1,1,1,1,1,1,-2
6278809-6288228,1.0,6278809,6288228,0,0,0,-1,1,1,0,0
6271008-62152,1.0,6271008,62152,0,0,0,0,1,2,0,0
6284083-17398,0.0,6284083,17398,1,1,0,-1,1,1,1,-2
3755761-34646,3.0,3755761,34646,0,0,0,0,1,1,1,-2
6271886-6333882,3.0,6271886,6333882,0,-1,0,0,0,0,0,0
1912141-5866023,2.0,1912141,5866023,0,-1,0,-1,1,1,1,-2
6327865-6305377,3.0,6327865,6305377,1,2,0,-1,1,1,1,-2
6269093-25298,3.0,6269093,25298,1,-2,0,0,1,1,1,-2
6286153-41380,0.0,6286153,41380,1,-2,0,-1,1,1,1,-2
6292303-6311727,3.0,6292303,6311727,0,-1,0,-1,1,1,0,0
17469-1709954,3.0,17469,1709954,0,-1,0,0,1,1,0,0
6235223-816413,2.0,6235223,816413,0,-1,0,0,1,1,0,0
6276643-6278733,0.0,6276643,6278733,0,-1,0,-1,1,1,0,0
6269521-25105,0.0,6269521,25105,0,-1,0,0,1,1,1,-2
232769-692876,1.0,232769,692876,1,2,1,-2,1,1,1,-2
6292320-24845,3.0,6292320,24845,0,-1,0,0,0,0,1,-2
6290878-6289543,3.0,6290878,6289543,1,1,0,0,1,1,1,-2
160011-2356762,0.0,160011,2356762,0,-1,0,-1,1,1,0,0
183245-3003459,2.0,183245,3003459,1,1,0,-1,0,-1,0,-1
6271321-6194444,2.0,6271321,6194444,0,-1,1,-2,1,1,0,0
6331050-6314242,2.0,6331050,6314242,0,-1,0,0,1,1,1,-2
111184-4769489,0.0,111184,4769489,0,0,0,0,0,0,0,0
144466-5866023,2.0,144466,5866023,0,-1,0,-1,1,1,1,-2
6306394-6285829,2.0,6306394,6285829,0,0,0,0,1,1,1,-2
2937254-1627022,2.0,2937254,1627022,1,1,0,-1,1,1,1,-2
6282742-33439,0.0,6282742,33439,0,-1,0,0,0,0,0,0
6269067-6202203,1.0,6269067,6202203,0,0,1,-2,1,1,1,-2
6284375-27017,3.0,6284375,27017,1,3,0,0,1,1,1,-2
868223-1418678,2.0,868223,1418678,0,-1,1,-2,1,1,1,-2
6284664-434434,3.0,6284664,434434,0,0,0,0,0,0,0,0
6327247-6311497,3.0,6327247,6311497,0,-1,0,0,0,0,0,0
19506-23547,0.0,19506,23547,1,2,0,0,1,2,1,-2
3624474-51484,1.0,3624474,51484,0,-1,0,0,1,1,0,0
34715-24534,2.0,34715,24534,0,0,0,0,1,2,1,-2
4553060-2457652,1.0,4553060,2457652,1,1,1,-2,1,1,1,-2
6305642-1631713,3.0,6305642,1631713,1,1,0,0,1,1,1,-2
26932-82016,2.0,26932,82016,0,-1,0,0,1,2,1,-2
6268622-38039,1.0,6268622,38039,0,-1,0,0,1,1,1,-2
2791-4077890,2.0,2791,4077890,0,0,0,0,1,1,1,-2
2327211-1527058,0.0,2327211,1527058,1,2,0,-1,1,1,1,-2
6282994-18116,1.0,6282994,18116,0,0,0,0,0,0,0,0
6270022-26022,2.0,6270022,26022,1,-2,1,-2,1,1,0,0
6194093-1059113,0.0,6194093,1059113,0,-1,0,0,1,1,0,0
6293619-6305551,3.0,6293619,6305551,1,2,0,0,1,1,0,0
2618143-3307315,0.0,2618143,3307315,0,-1,1,-2,1,1,1,-2
6299342-222167,0.0,6299342,222167,0,-1,0,-1,0,0,0,0
6277010-6308681,0.0,6277010,6308681,0,0,0,0,1,1,1,-2
1456469-6325722,2.0,1456469,6325722,1,-2,0,0,0,0,0,0
6282417-21123,0.0,6282417,21123,0,0,0,0,1,1,0,0
34715-6272032,2.0,34715,6272032,0,0,0,0,1,1,1,-2
42899-1748868,0.0,42899,1748868,0,-1,1,-2,0,0,1,-2
255237-48683,0.0,255237,48683,0,-1,0,0,1,2,0,0
6320809-6326160,3.0,6320809,6326160,0,-1,0,0,0,0,1,-2
6289559-6277875,3.0,6289559,6277875,1,3,0,0,1,1,0,0
6291398-4621355,0.0,6291398,4621355,1,1,0,0,0,0,1,-2
39391-6274422,3.0,39391,6274422,0,-1,1,-2,1,1,1,-2
98234-561266,0.0,98234,561266,0,-1,0,-1,1,1,0,0
11771-3892823,3.0,11771,3892823,0,-1,0,0,1,1,1,-2
289451-2355085,1.0,289451,2355085,0,-1,0,0,1,1,1,-2
6337593-6338128,0.0,6337593,6338128,0,0,0,0,0,0,0,0
6332558-6301811,0.0,6332558,6301811,0,0,1,-2,0,0,0,0
20721-17639,2.0,20721,17639,0,-1,0,0,1,1,0,0
3575942-6274407,3.0,3575942,6274407,1,2,0,-1,0,0,1,-2
6290083-6332389,2.0,6290083,6332389,0,0,0,-1,0,0,0,0
6274865-3854999,0.0,6274865,3854999,0,-1,0,0,0,0,0,0
837320-6296897,1.0,837320,6296897,1,1,0,0,1,2,1,-2
6235223-6301013,1.0,6235223,6301013,0,-1,0,0,1,1,0,0
4569612-1418499,0.0,4569612,1418499,0,-1,0,0,1,1,0,0
946195-6289606,3.0,946195,6289606,0,0,0,0,0,0,0,0
51484-36768,0.0,51484,36768,0,-1,0,-1,1,1,1,-2
6293970-6298534,0.0,6293970,6298534,1,1,0,0,1,1,0,0
880959-6282919,3.0,880959,6282919,1,2,0,0,1,1,0,0
837110-5353662,1.0,837110,5353662,0,-1,1,-2,1,1,1,-2
10161-24050,3.0,10161,24050,0,-1,0,0,1,1,1,-2
184458-6270636,1.0,184458,6270636,0,-1,0,-1,1,1,0,0
22450-4787777,0.0,22450,4787777,0,-1,1,-2,1,1,1,-2
1044966-1360764,1.0,1044966,1360764,0,-1,1,-2,1,1,1,-2
6292952-153779,1.0,6292952,153779,0,0,0,0,0,0,1,-2
773756-2172680,1.0,773756,2172680,0,-1,1,-2,0,0,1,-2
813988-83539,1.0,813988,83539,0,-1,0,0,1,1,0,0
28846-35982,1.0,28846,35982,1,4,0,-1,1,1,1,-2
2516651-6326299,1.0,2516651,6326299,0,0,0,0,1,1,0,0
50987-24103,1.0,50987,24103,0,-1,0,0,1,1,1,-2
826539-6276887,3.0,826539,6276887,1,2,1,-2,1,1,1,-2
6333036-6331616,3.0,6333036,6331616,0,-1,0,0,1,1,1,-2
53495-27392,0.0,53495,27392,0,0,1,-2,0,0,0,0
6274571-6275331,2.0,6274571,6275331,0,-1,0,0,0,0,0,0
6272478-6279488,0.0,6272478,6279488,0,-1,0,-1,1,1,0,0
6270694-106696,2.0,6270694,106696,0,-1,0,-1,1,1,1,-2
6268622-6272039,3.0,6268622,6272039,0,-1,0,0,1,1,1,1
854406-5113539,2.0,854406,5113539,0,-1,0,0,1,1,0,0
6314943-6307851,2.0,6314943,6307851,0,-1,0,0,0,0,1,-2
6268974-4938244,2.0,6268974,4938244,0,-1,1,1,1,1,1,-2
7501-36426,2.0,7501,36426,1,4,0,-1,1,1,1,-2
8241-76976,2.0,8241,76976,0,-1,0,-1,1,1,0,0
50896-1174815,3.0,50896,1174815,0,0,0,0,1,1,1,-2
231841-6301018,1.0,231841,6301018,1,4,0,0,1,1,0,0
1169946-21436,1.0,1169946,21436,1,2,0,0,1,1,0,0
6290865-6305524,1.0,6290865,6305524,0,-1,0,0,0,0,0,0
1351872-6313346,1.0,1351872,6313346,0,-1,0,-1,1,1,1,-2
329793-6271,2.0,329793,6271,1,2,1,-2,0,0,1,-2
41836-1730402,2.0,41836,1730402,1,3,0,0,1,1,1,-2
23911-2382745,0.0,23911,2382745,0,-1,0,0,1,1,1,-2
111184-17229,2.0,111184,17229,0,0,0,0,1,1,0,0
2151340-6269305,2.0,2151340,6269305,0,-1,0,0,1,1,0,0
50871-1660470,0.0,50871,1660470,1,1,0,0,1,1,1,-2
6338179-6338011,0.0,6338179,6338011,1,2,1,-2,1,1,1,-2
3606840-49721,1.0,3606840,49721,0,0,0,0,1,2,1,-2
5417144-2777371,3.0,5417144,2777371,0,0,1,-2,1,1,1,-2
18568-26355,0.0,18568,26355,1,5,0,0,1,1,0,0
4885083-6304870,3.0,4885083,6304870,1,2,0,-1,1,1,1,-2
6321457-6324423,3.0,6321457,6324423,0,-1,0,0,1,1,0,0
6287794-5007504,1.0,6287794,5007504,1,2,0,-1,0,0,0,0
6326285-6297710,2.0,6326285,6297710,1,1,0,0,1,1,0,0
868223-3461,2.0,868223,3461,0,-1,0,-1,1,1,1,-2
4542555-6284280,3.0,4542555,6284280,0,-1,1,-2,0,0,0,0
6284615-88770,3.0,6284615,88770,0,0,0,0,1,1,0,0
4938458-1132991,0.0,4938458,1132991,1,1,0,0,1,1,0,0
23256-6295970,1.0,23256,6295970,0,-1,1,-2,1,1,1,-2
6333197-6332088,3.0,6333197,6332088,0,-1,0,0,1,1,0,0
6299558-2279761,0.0,6299558,2279761,0,0,0,0,0,0,0,0
4587514-6297126,1.0,4587514,6297126,1,-2,0,0,1,1,1,-2
6272104-1234857,0.0,6272104,1234857,1,1,0,-1,1,1,0,0
6289472-6280399,0.0,6289472,6280399,1,-2,1,-2,1,1,1,-2
771379-1691947,1.0,771379,1691947,1,2,0,-1,1,2,1,-2
6290807-50881,2.0,6290807,50881,0,0,1,-2,1,1,1,-2
6326551-6323909,3.0,6326551,6323909,1,-2,0,0,0,0,1,-2
6278672-6274843,1.0,6278672,6274843,0,-1,0,-1,1,1,1,-2
6301663-6283243,3.0,6301663,6283243,0,-1,0,-1,0,0,0,0
4905771-26715,1.0,4905771,26715,1,2,0,-1,1,1,1,-2
6298556-6297710,1.0,6298556,6297710,0,-1,0,0,0,0,0,0
6289510-1737998,0.0,6289510,1737998,0,-1,0,0,1,1,0,0
6291272-6325769,3.0,6291272,6325769,0,0,0,0,1,1,0,0
260908-6290353,3.0,260908,6290353,0,-1,0,0,1,1,1,-2
6285052-1230591,2.0,6285052,1230591,0,0,0,0,1,1,0,0
152473-3871583,0.0,152473,3871583,1,1,0,0,1,1,0,0
238724-4537291,0.0,238724,4537291,0,-1,1,-2,1,1,1,-2
4514640-6268317,1.0,4514640,6268317,1,1,0,0,1,1,0,0
299455-245604,3.0,299455,245604,0,-1,0,0,1,1,1,-2
6292992-6333792,1.0,6292992,6333792,0,-1,0,0,0,0,1,-2
6287981-6299102,1.0,6287981,6299102,0,0,0,0,1,2,1,-2
4638208-2107128,1.0,4638208,2107128,0,-1,0,0,1,1,0,0
6315912-4472011,3.0,6315912,4472011,1,2,0,0,1,1,0,0
17399-80472,1.0,17399,80472,1,1,0,0,1,1,0,0
1627022-25468,3.0,1627022,25468,0,0,0,-1,1,1,1,-2
4741390-1739696,0.0,4741390,1739696,0,-1,0,0,1,1,1,-2
6201023-6299963,1.0,6201023,6299963,0,0,0,0,0,0,1,-2
39391-6273906,2.0,39391,6273906,0,0,0,0,1,1,1,-2
6337245-6337114,3.0,6337245,6337114,1,-2,0,0,0,0,1,-2
6312129-4756120,0.0,6312129,4756120,0,-1,0,0,1,1,0,0
6334082-6334374,3.0,6334082,6334374,0,-1,0,0,1,1,1,-2
6305218-6287685,3.0,6305218,6287685,1,3,0,0,0,0,0,0
4567491-23104,1.0,4567491,23104,0,-1,0,0,1,1,1,-2
6274051-2305431,0.0,6274051,2305431,1,2,1,-2,1,1,1,-2
241499-2951,0.0,241499,2951,1,1,0,-1,1,2,0,0
6201926-110562,3.0,6201926,110562,1,2,1,-2,1,2,1,-2
36095-6269800,2.0,36095,6269800,0,-1,0,0,1,1,1,-2
6314966-5043565,0.0,6314966,5043565,0,0,0,0,1,1,1,-2
6332150-6282351,2.0,6332150,6282351,0,-1,1,-2,0,0,1,-2
3401952-6191215,1.0,3401952,6191215,0,-1,0,0,1,1,0,0
87146-264602,3.0,87146,264602,0,-1,0,-1,1,2,0,0
6273557-833183,3.0,6273557,833183,0,0,0,0,1,1,1,-2
91641-34699,3.0,91641,34699,0,-1,1,-2,1,1,1,-2
6306033-6278007,0.0,6306033,6278007,1,1,0,0,1,1,1,-2
6330060-6327208,2.0,6330060,6327208,0,0,0,-1,1,1,0,0
6276611-202017,2.0,6276611,202017,0,-1,0,0,1,1,1,-2
2991984-1193631,0.0,2991984,1193631,0,-1,0,0,1,1,1,-2
183278-2389666,0.0,183278,2389666,0,-1,0,0,1,1,0,0
6272888-17832,1.0,6272888,17832,0,-1,0,0,1,1,1,-2
18426-1065990,0.0,18426,1065990,0,-1,0,0,0,0,0,0
6308152-6282790,3.0,6308152,6282790,0,-1,0,0,1,1,0,0
30688-1166166,3.0,30688,1166166,1,2,0,0,1,1,0,0
144466-17788,2.0,144466,17788,1,2,0,-1,1,1,1,-2
6334100-6341447,3.0,6334100,6341447,0,0,0,0,1,1,1,-2
4602933-12721,2.0,4602933,12721,0,0,0,-1,1,1,0,0
6271004-50221,0.0,6271004,50221,0,-1,0,0,1,2,0,0
3002292-6273402,3.0,3002292,6273402,1,1,0,0,1,2,1,-2
6290966-6297093,3.0,6290966,6297093,0,-1,0,0,1,1,0,0
6192825-784979,2.0,6192825,784979,1,1,0,0,1,1,1,-2
21098-225375,3.0,21098,225375,0,-1,1,-2,1,2,1,-2
17511-6212314,0.0,17511,6212314,0,-1,1,-2,0,0,1,-2
1319863-6270208,2.0,1319863,6270208,0,-1,0,0,1,1,0,0
6321519-6334574,2.0,6321519,6334574,1,1,0,0,0,0,1,-2
22938-6270973,2.0,22938,6270973,0,0,0,-1,1,2,0,0
6268622-6275681,3.0,6268622,6275681,0,-1,0,0,1,1,1,-2
2029031-1108255,0.0,2029031,1108255,1,-2,0,0,0,0,0,0
332000-27940,1.0,332000,27940,1,1,0,0,1,1,1,-2
6335690-6326963,3.0,6335690,6326963,0,0,0,0,1,1,1,-2
6284013-6276527,1.0,6284013,6276527,0,-1,0,0,0,0,0,0
6269135-3625735,3.0,6269135,3625735,1,1,0,0,1,1,1,-2
771379-6271584,1.0,771379,6271584,1,1,0,-1,1,1,1,-2
52831-636231,0.0,52831,636231,0,0,0,0,1,1,1,-2
6309002-38954,0.0,6309002,38954,0,-1,0,0,1,1,1,-2
247948-6192343,0.0,247948,6192343,0,0,0,0,1,1,1,-2
243482-144804,1.0,243482,144804,1,1,1,-2,1,2,0,0
86275-17398,0.0,86275,17398,0,-1,0,-1,1,1,1,-2
207727-6300248,1.0,207727,6300248,0,0,0,0,0,0,0,0
6282855-1280956,0.0,6282855,1280956,0,-1,0,0,1,1,1,-2
6307609-6283153,3.0,6307609,6283153,1,-2,0,0,1,1,1,-2
680630-1912141,2.0,680630,1912141,1,2,0,0,1,2,1,-2
6305126-6305156,3.0,6305126,6305156,0,0,0,0,1,1,0,0
30499-4471,1.0,30499,4471,1,1,1,-2,1,2,1,-2
6312815-6337764,2.0,6312815,6337764,0,0,0,0,0,0,0,0
299517-6192825,0.0,299517,6192825,0,-1,1,-2,1,1,1,-2
6283421-21,0.0,6283421,21,0,-1,0,0,1,2,0,0
3872648-941112,2.0,3872648,941112,1,3,0,0,1,1,1,-2
4769147-155079,1.0,4769147,155079,0,-1,0,0,1,1,1,-2
223112-19148,0.0,223112,19148,0,-1,1,-2,0,0,1,-2
36543-26939,0.0,36543,26939,0,-1,0,-1,1,1,0,0
6328595-6288954,3.0,6328595,6288954,1,1,0,-1,0,0,0,0
2239394-2355085,1.0,2239394,2355085,0,-1,0,0,1,1,1,-2
6301483-6299250,3.0,6301483,6299250,0,-1,0,-1,1,1,1,-2
6328775-6295953,3.0,6328775,6295953,0,-1,0,0,0,0,1,-2
2476377-1948043,0.0,2476377,1948043,1,2,0,0,1,1,1,-2
1912141-168352,2.0,1912141,168352,1,2,0,0,1,2,1,-2
6295285-6282953,0.0,6295285,6282953,1,2,0,0,1,3,1,-2
202142-1213363,0.0,202142,1213363,0,0,0,-1,1,1,1,-2
17665-2338296,2.0,17665,2338296,0,0,0,0,1,1,0,0
20199-2951,0.0,20199,2951,0,-1,0,-1,1,1,0,0
4563956-825503,0.0,4563956,825503,0,-1,1,-2,1,1,1,-2
260908-160593,3.0,260908,160593,0,-1,1,-2,1,2,1,-2
17603-6288954,3.0,17603,6288954,0,0,0,-1,1,1,0,0
5128244-19602,1.0,5128244,19602,0,-1,0,0,1,1,0,0
144466-214381,2.0,144466,214381,1,2,0,-1,1,1,1,-2
1002254-1768657,1.0,1002254,1768657,0,-1,0,0,1,1,1,-2
616046-16171,0.0,616046,16171,1,2,1,-2,1,1,1,-2
108172-48602,3.0,108172,48602,0,-1,0,0,1,1,1,-2
175013-28643,0.0,175013,28643,1,2,0,-1,1,4,1,-2
6273356-3656201,2.0,6273356,3656201,1,4,0,0,1,1,0,0
6315770-6309293,3.0,6315770,6309293,0,0,0,0,1,1,1,-2
6328682-39499,0.0,6328682,39499,0,-1,0,0,0,0,0,0
2198650-6269531,2.0,2198650,6269531,0,-1,0,0,1,1,1,-2
6284664-83327,3.0,6284664,83327,0,-1,0,0,0,0,0,0
6295926-6275900,2.0,6295926,6275900,0,0,0,0,1,1,1,-2
6282855-28821,1.0,6282855,28821,1,2,0,0,1,1,1,-2
1779155-6270022,2.0,1779155,6270022,0,-1,0,-1,0,0,1,-2
6273576-19148,2.0,6273576,19148,0,-1,0,0,0,0,1,-2
6286313-6335600,3.0,6286313,6335600,0,-1,0,0,1,1,1,-2
106606-44668,0.0,106606,44668,1,2,0,0,1,1,1,-2
1292884-1748809,3.0,1292884,1748809,1,2,1,-2,1,1,1,-2
6321862-1355347,0.0,6321862,1355347,0,-1,0,0,1,1,1,-2
6315357-6315218,0.0,6315357,6315218,0,-1,0,0,0,-1,0,-1
166578-87057,2.0,166578,87057,0,-1,0,0,1,1,1,1
40976-1442209,0.0,40976,1442209,0,-1,1,-2,1,2,1,-2
6282415-6303883,1.0,6282415,6303883,1,1,0,0,1,1,1,-2
6314971-6283151,0.0,6314971,6283151,0,-1,0,0,0,0,0,0
4651481-6272888,3.0,4651481,6272888,1,-2,0,0,1,1,0,0
6275741-8521,1.0,6275741,8521,0,-1,1,-2,1,1,0,0
48007-213561,2.0,48007,213561,1,2,0,-1,1,1,1,-2
6324968-6329366,0.0,6324968,6329366,0,-1,0,0,0,0,1,-2
79374-1457499,0.0,79374,1457499,0,-1,0,0,1,1,1,-2
6331050-1410886,2.0,6331050,1410886,0,-1,0,-1,1,2,1,-2
21811-3278696,0.0,21811,3278696,0,-1,0,0,0,0,1,-2
5153958-1658382,0.0,5153958,1658382,0,-1,0,0,1,1,0,0
6275679-6286919,3.0,6275679,6286919,1,-2,0,0,1,1,1,-2
1122522-4619366,1.0,1122522,4619366,0,-1,0,0,0,0,1,-2
39391-5891507,2.0,39391,5891507,1,7,0,0,1,1,0,0
6307765-6326114,1.0,6307765,6326114,0,-1,0,0,0,0,1,-2
23547-22822,2.0,23547,22822,1,3,0,0,1,1,1,-2
6324909-1664124,0.0,6324909,1664124,0,0,0,-1,1,1,1,-2
258724-6275015,1.0,258724,6275015,0,0,0,0,0,0,0,0
2099429-6334154,1.0,2099429,6334154,0,-1,0,0,0,0,1,-2
14851-1636223,0.0,14851,1636223,0,-1,0,0,1,2,0,0
6290097-6312726,0.0,6290097,6312726,0,0,0,0,1,1,0,0
6270746-813652,3.0,6270746,813652,0,-1,0,0,1,1,1,-2
22037-181824,2.0,22037,181824,0,-1,0,0,1,1,1,-2
133296-813472,0.0,133296,813472,0,0,0,0,1,1,1,-2
87146-40627,2.0,87146,40627,0,-1,0,0,1,1,0,0
232769-6269574,1.0,232769,6269574,1,2,0,0,1,1,1,-2
22892-2254143,3.0,22892,2254143,0,-1,0,0,1,1,1,-2
5885415-1667079,0.0,5885415,1667079,0,-1,0,0,0,0,0,0
6272932-50582,3.0,6272932,50582,1,1,0,0,1,1,1,-2
229124-2413871,0.0,229124,2413871,0,-1,0,-1,1,1,1,-2
6292272-6276325,3.0,6292272,6276325,0,-1,0,0,1,1,1,-2
